DATE,t+6,t+1,t+2,t+3,t+4,t+5
1491226200,886.8,888.55,887.1173,887.511,886.27,886.58
1491226260,887.31,887.1173,887.511,886.27,886.58,886.8
1491226320,888.5997,887.511,886.27,886.58,886.8,887.31
1491226380,889.8,886.27,886.58,886.8,887.31,888.5997
1491226440,888.845,886.58,886.8,887.31,888.5997,889.8
1491226500,890.22,886.8,887.31,888.5997,889.8,888.845
1491226560,891.147,887.31,888.5997,889.8,888.845,890.22
1491226620,890.47,888.5997,889.8,888.845,890.22,891.147
1491226680,891.45,889.8,888.845,890.22,891.147,890.47
1491226740,891.79,888.845,890.22,891.147,890.47,891.45
1491226800,891.12,890.22,891.147,890.47,891.45,891.79
1491226860,891.23,891.147,890.47,891.45,891.79,891.12
1491226920,890.3869,890.47,891.45,891.79,891.12,891.23
1491226980,890.14,891.45,891.79,891.12,891.23,890.3869
1491227040,890.45,891.79,891.12,891.23,890.3869,890.14
1491227100,889.99,891.12,891.23,890.3869,890.14,890.45
1491227160,889.71,891.23,890.3869,890.14,890.45,889.99
1491227220,890.225,890.3869,890.14,890.45,889.99,889.71
1491227280,890.4885,890.14,890.45,889.99,889.71,890.225
1491227340,890.75,890.45,889.99,889.71,890.225,890.4885
1491227400,891.03,889.99,889.71,890.225,890.4885,890.75
1491227460,890.5709,889.71,890.225,890.4885,890.75,891.03
1491227520,890.18,890.225,890.4885,890.75,891.03,890.5709
1491227580,889.84,890.4885,890.75,891.03,890.5709,890.18
1491227640,890.29,890.75,891.03,890.5709,890.18,889.84
1491227700,890.11,891.03,890.5709,890.18,889.84,890.29
1491227760,890.42,890.5709,890.18,889.84,890.29,890.11
1491227820,890.87,890.18,889.84,890.29,890.11,890.42
1491227880,890.28,889.84,890.29,890.11,890.42,890.87
1491227940,890.46,890.29,890.11,890.42,890.87,890.28
1491228000,890.85,890.11,890.42,890.87,890.28,890.46
1491228060,890.32,890.42,890.87,890.28,890.46,890.85
1491228120,889.21,890.87,890.28,890.46,890.85,890.32
1491228180,888.72,890.28,890.46,890.85,890.32,889.21
1491228240,888.6,890.46,890.85,890.32,889.21,888.72
1491228300,888.51,890.85,890.32,889.21,888.72,888.6
1491228360,887.91,890.32,889.21,888.72,888.6,888.51
1491228420,887.65,889.21,888.72,888.6,888.51,887.91
1491228480,888,888.72,888.6,888.51,887.91,887.65
1491228540,888.5,888.6,888.51,887.91,887.65,888
1491228600,889.2799,888.51,887.91,887.65,888,888.5
1491228660,889.35,887.91,887.65,888,888.5,889.2799
1491228720,889.58,887.65,888,888.5,889.2799,889.35
1491228780,890.14,888,888.5,889.2799,889.35,889.58
1491228840,891.1499,888.5,889.2799,889.35,889.58,890.14
1491228900,890.99,889.2799,889.35,889.58,890.14,891.1499
1491228960,891.25,889.35,889.58,890.14,891.1499,890.99
1491229020,891.5078,889.58,890.14,891.1499,890.99,891.25
1491229080,891.669,890.14,891.1499,890.99,891.25,891.5078
1491229140,892,891.1499,890.99,891.25,891.5078,891.669
1491229200,892.1397,890.99,891.25,891.5078,891.669,892
1491229260,892.545,891.25,891.5078,891.669,892,892.1397
1491229320,891.89,891.5078,891.669,892,892.1397,892.545
1491229380,892.55,891.669,892,892.1397,892.545,891.89
1491229440,892.56,892,892.1397,892.545,891.89,892.55
1491229500,892.43,892.1397,892.545,891.89,892.55,892.56
1491229560,892.12,892.545,891.89,892.55,892.56,892.43
1491229620,891.2822,891.89,892.55,892.56,892.43,892.12
1491229680,891.448,892.55,892.56,892.43,892.12,891.2822
1491229740,890.88,892.56,892.43,892.12,891.2822,891.448
1491229800,890.29,892.43,892.12,891.2822,891.448,890.88
1491229860,890.7292,892.12,891.2822,891.448,890.88,890.29
1491229920,890.465,891.2822,891.448,890.88,890.29,890.7292
1491229980,890.12,891.448,890.88,890.29,890.7292,890.465
1491230040,890.3126,890.88,890.29,890.7292,890.465,890.12
1491230100,890.42,890.29,890.7292,890.465,890.12,890.3126
1491230160,889.856,890.7292,890.465,890.12,890.3126,890.42
1491230220,889.7,890.465,890.12,890.3126,890.42,889.856
1491230280,890.06,890.12,890.3126,890.42,889.856,889.7
1491230340,889.72,890.3126,890.42,889.856,889.7,890.06
1491230400,889.8548,890.42,889.856,889.7,890.06,889.72
1491230460,890.766,889.856,889.7,890.06,889.72,889.8548
1491230520,891,889.7,890.06,889.72,889.8548,890.766
1491230580,891.01,890.06,889.72,889.8548,890.766,891
1491230640,890.38,889.72,889.8548,890.766,891,891.01
1491230700,890.17,889.8548,890.766,891,891.01,890.38
1491230760,889.8547,890.766,891,891.01,890.38,890.17
1491230820,889.83,891,891.01,890.38,890.17,889.8547
1491230880,889.22,891.01,890.38,890.17,889.8547,889.83
1491230940,889,890.38,890.17,889.8547,889.83,889.22
1491231000,889.35,890.17,889.8547,889.83,889.22,889
1491231060,889.28,889.8547,889.83,889.22,889,889.35
1491231120,889.39,889.83,889.22,889,889.35,889.28
1491231180,889.405,889.22,889,889.35,889.28,889.39
1491231240,889,889,889.35,889.28,889.39,889.405
1491231300,888.6006,889.35,889.28,889.39,889.405,889
1491231360,887.89,889.28,889.39,889.405,889,888.6006
