DATE,t+6,t+1,t+2,t+3,t+4,t+5
1491226200,42.5399,42.33,42.36,42.31,42.37,42.5378
1491226260,42.47,42.36,42.31,42.37,42.5378,42.5399
1491226320,42.47,42.31,42.37,42.5378,42.5399,42.47
1491226380,42.39,42.37,42.5378,42.5399,42.47,42.47
1491226440,42.33,42.5378,42.5399,42.47,42.47,42.39
1491226500,42.4,42.5399,42.47,42.47,42.39,42.33
1491226560,42.29,42.47,42.47,42.39,42.33,42.4
1491226620,42.29,42.47,42.39,42.33,42.4,42.29
1491226680,42.39,42.39,42.33,42.4,42.29,42.29
1491226740,42.4197,42.33,42.4,42.29,42.29,42.39
1491226800,42.43,42.4,42.29,42.29,42.39,42.4197
1491226860,42.44,42.29,42.29,42.39,42.4197,42.43
1491226920,42.4,42.29,42.39,42.4197,42.43,42.44
1491226980,42.39,42.39,42.4197,42.43,42.44,42.4
1491227040,42.44,42.4197,42.43,42.44,42.4,42.39
1491227100,42.38,42.43,42.44,42.4,42.39,42.44
1491227160,42.34,42.44,42.4,42.39,42.44,42.38
1491227220,42.295,42.4,42.39,42.44,42.38,42.34
1491227280,42.28,42.39,42.44,42.38,42.34,42.295
1491227340,42.25,42.44,42.38,42.34,42.295,42.28
1491227400,42.26,42.38,42.34,42.295,42.28,42.25
1491227460,42.21,42.34,42.295,42.28,42.25,42.26
1491227520,42.2,42.295,42.28,42.25,42.26,42.21
1491227580,42.17,42.28,42.25,42.26,42.21,42.2
1491227640,42.14,42.25,42.26,42.21,42.2,42.17
1491227700,42.16,42.26,42.21,42.2,42.17,42.14
1491227760,42.24,42.21,42.2,42.17,42.14,42.16
1491227820,42.15,42.2,42.17,42.14,42.16,42.24
1491227880,42.11,42.17,42.14,42.16,42.24,42.15
1491227940,42.08,42.14,42.16,42.24,42.15,42.11
1491228000,42.08,42.16,42.24,42.15,42.11,42.08
1491228060,42.0319,42.24,42.15,42.11,42.08,42.08
1491228120,42,42.15,42.11,42.08,42.08,42.0319
1491228180,41.92,42.11,42.08,42.08,42.0319,42
1491228240,41.92,42.08,42.08,42.0319,42,41.92
1491228300,41.95,42.08,42.0319,42,41.92,41.92
1491228360,41.93,42.0319,42,41.92,41.92,41.95
1491228420,41.96,42,41.92,41.92,41.95,41.93
1491228480,41.93,41.92,41.92,41.95,41.93,41.96
1491228540,42.06,41.92,41.95,41.93,41.96,41.93
1491228600,42.1,41.95,41.93,41.96,41.93,42.06
1491228660,42.12,41.93,41.96,41.93,42.06,42.1
1491228720,42.14,41.96,41.93,42.06,42.1,42.12
1491228780,42.095,41.93,42.06,42.1,42.12,42.14
1491228840,42.09,42.06,42.1,42.12,42.14,42.095
1491228900,42.16,42.1,42.12,42.14,42.095,42.09
1491228960,42.16,42.12,42.14,42.095,42.09,42.16
1491229020,42.11,42.14,42.095,42.09,42.16,42.16
1491229080,42.12,42.095,42.09,42.16,42.16,42.11
1491229140,42.06,42.09,42.16,42.16,42.11,42.12
1491229200,42.07,42.16,42.16,42.11,42.12,42.06
1491229260,42.08,42.16,42.11,42.12,42.06,42.07
1491229320,42.05,42.11,42.12,42.06,42.07,42.08
1491229380,42.02,42.12,42.06,42.07,42.08,42.05
1491229440,41.96,42.06,42.07,42.08,42.05,42.02
1491229500,42.03,42.07,42.08,42.05,42.02,41.96
1491229560,42.09,42.08,42.05,42.02,41.96,42.03
1491229620,42.08,42.05,42.02,41.96,42.03,42.09
1491229680,42.06,42.02,41.96,42.03,42.09,42.08
1491229740,42.0332,41.96,42.03,42.09,42.08,42.06
1491229800,42.035,42.03,42.09,42.08,42.06,42.0332
1491229860,42.02,42.09,42.08,42.06,42.0332,42.035
1491229920,42.01,42.08,42.06,42.0332,42.035,42.02
1491229980,42.055,42.06,42.0332,42.035,42.02,42.01
1491230040,42.0499,42.0332,42.035,42.02,42.01,42.055
1491230100,42.03,42.035,42.02,42.01,42.055,42.0499
1491230160,41.93,42.02,42.01,42.055,42.0499,42.03
1491230220,41.95,42.01,42.055,42.0499,42.03,41.93
1491230280,41.9443,42.055,42.0499,42.03,41.93,41.95
1491230340,41.95,42.0499,42.03,41.93,41.95,41.9443
1491230400,41.925,42.03,41.93,41.95,41.9443,41.95
1491230460,41.95,41.93,41.95,41.9443,41.95,41.925
1491230520,41.98,41.95,41.9443,41.95,41.925,41.95
1491230580,41.94,41.9443,41.95,41.925,41.95,41.98
1491230640,41.95,41.95,41.925,41.95,41.98,41.94
1491230700,41.92,41.925,41.95,41.98,41.94,41.95
1491230760,41.86,41.95,41.98,41.94,41.95,41.92
1491230820,41.86,41.98,41.94,41.95,41.92,41.86
1491230880,41.85,41.94,41.95,41.92,41.86,41.86
1491230940,41.8,41.95,41.92,41.86,41.86,41.85
1491231000,41.88,41.92,41.86,41.86,41.85,41.8
1491231060,41.81,41.86,41.86,41.85,41.8,41.88
1491231120,41.81,41.86,41.85,41.8,41.88,41.81
1491231180,41.84,41.85,41.8,41.88,41.81,41.81
